No.	Gloss	Proto-Tai
768	downstream, below	*taɰ C
769	below	*lwɤːŋ B
770	inside	*C̥.daɰ A
771	outside	*l̩.noːk D
772	middle	*klaːŋ A
773	side	*C̥.bɯǝŋ C
774	this	*naj C
775	before	*koːn B
776	tip, end	*plaːj A
777	tip, highest point	*ɲoːt D
778	edge	*riːm A
779	gradually, slowly	*gɔːj B
780	not (strong 1)	*ɓaw B
781	not (strong 2)	*boː B
782	not (weak)	*miː A
783	not yet	*paj B
784	do not	*ʰɲaː B
785	which	*ɗaɰ A
786	also	*koː C
787	with, and	*kap D
788	matter	*ɣwaːm A
