No.	Chinese gloss	English gloss	Proto-Hlai	Pre-Hlai	Hlai subgroup reconstructions	Jiamao
1	矮	short	*tʰɯːʔ	*tɯːʔ		tʰaː¹
2	愛	love			GHl *ʔəːp	[taːk⁹tsiː¹]
3	安裝	set up	*C-ŋəp	*C-ŋəp		[kaːp⁷]
4	安	press	*C-məc	*C-məc		
5	安	press			Qi *kom	kəm⁵
6	安	press			Run *[ʈʂ/tç]həmɦ	
7	熬	decoct	*C-ŋaːwɦ	*C-ŋaːwɦ		kəm⁵
8	八	eight	*hruː	*ruː		kuː¹
9	扒	dig up	*Cuɦɯːnɦ	*Cuɣɯːnɦ		
10	扒	dig up			GHl *sʰinʔ	
11	扒	dig up	*ɦɯːt	*C-ɣɯːt		kɯat⁷
12	扒	dig up			NECHl *kʰɯːt	
13	芭蕉	banana	*hwaːk	*waːk		vɯa⁵
14	拔(草)	pull up (grass)	*ʔɯt	*ʔɯt		[kɔŋ⁵]
15	拔(釘)	pull out (nail)	*kʰəc	*[k/x]əc		[mak⁷]
16	拔(土)	pull up (earth)	*kɯːm	*Cəʔgɯːm		[mak⁷]
17	拔(土)	pull up (earth)			NCHl *kʰop	
18	把(刀)	knife clf.	*pʰiːnɦ	*piːnɦ		[tet⁷]
19	把(刀)	knife clf.			NCHl *hw[a]ːŋʔ	
20	把	tool clf.	*C-lɯːŋʔ	*C-lɯːŋʔ		[tet⁷]
21	把	tool clf.			Run *ʔw[a]ːk	
22	耙	rake	*hrjik	*Cirik		[pʰəː¹]
23	耙	rake			Run *ɾ[a]ːŋ	
24	白	white	*kʰaːw	*[k/x]aːw		kʰow¹
25	白麻	white hemp (Apocynum pictum)	*kʰaːn	*[k/x]aːn		[ven⁴]
26	白藤	white rattan (Calamus tetradactylus)	*kəc	*Cəʔgəc		[lej¹]
27	白天	daytime	*hmiːʔ	*miːʔ		[kɯ²]
28	白天	daytime	*hŋwən	*ŋwən		[ɗuən⁵]
29	白頭髮	white hair	*hŋuːk	*ŋuːk		kua²
30	白蟻	termite	*m-luːk	*m-luːk		lua⁵
31	百	hundred	*Cuhraːn	*Curaːn		kɯːn¹
32	拜	worship	*pʰuc	*puc		pʰut⁷
33	擺手	wave (hand)	*ʔu[ː]j	*ʔu[ː]j		
34	擺手	wave (hand)			CHl *hwin	[fit⁷]
35	斑鳩	dove	*kʰuː	*[k/x]uː		[tsaw⁴]
36	搬	move (object)	*[ɾ/hr]j[e]ːŋʔ	*Ci[d/r][ɛ]ːŋʔ		
37	搬	move (object)			Run *hj[e]ːŋʔ	
38	搬運	transport	*hŋwəːjʔ	*ŋwəːjʔ		
39	半	half (of object)			GHl *tʰəːn	
40	半	half (of number)			CHl *tʰom	
41	半	half (of number)			CHl *fʰin	
42	半	half (of number)			Run *fʰunɦ	
43	綁	tie			GHl *fʰəːt	[kʰɔːp⁹]
44	綁	tie			GHl *sʰən	
45	綁	tie			NWCHl *C-ŋəːnʔ	
46	蚌	mussel	*tçʰiː	*[c/ç]iː		tsʰaj¹
47	蚌	mussel			GHl *[ʈʂ/tç]həːŋʔ	[kʰɔːp⁷]
48	蚌	mussel			Run *hwaːʔ	
49	包	wrap	*tʰuːk	*tuːk		tʰuːʔ⁹
50	剝	skin (a cow)	*ɗaːŋʔ	*Cəʔdaːŋʔ		tʰak⁷
51	剝	skin (a cow)			Qi *tʰək	
52	剝	peel (bark)	*sʰiːnɦ	*siːnɦ		[ɲiːt⁹]
53	剝	peel (bark)			CHl *ɗiːnʔ	
54	薄	thin	*hrɯː	*rɯː		kaj¹
55	飽	sated	*kʰɯːm	*[k/x]ɯːm		kʰɔm¹
56	抱/背	carry			GHl *ʔop	ʔup⁷
57	抱	carry (a child)	*ʔuːnʔ	*ʔuːnʔ		ʔun⁵
58	抱	carry (firewood)	*ʔomʔ	*ʔomʔ		
59	豹	leopard	*Cuɦuːjʔ	*Cuɣuːjʔ		
60	暴露	expose	*Cuɦaːwɦ	*Cuɣaːwɦ		[ʔjeːŋ⁵]
61	暴露	expose	*tʰɯːn	*tɯːn		
62	背	carry (on back)			GHl *fʰiːŋ	feːŋ⁵
63	北	north	*pʰəjʔ	*pəjʔ		
64	北	north			Run *fʰ[a]ːŋ	
65	北	north			ECHl *hnɯː	
66	北	north			NWCHl *hjəːk	
67	背脊	back (of body)	*tçʰuɲʔ	*[c/ç]uɲʔ		[tuːt⁹]
68	背着手	put hands behind back			CHl *m-leː	[teːk⁸tɯːn¹]
69	被	get	*ɗɯː	*Cəʔdɯː		[mɯən¹]
70	被	get			CHl *hnɯːŋɦ	
71	被子	blanket			GHl *fʰiːʔ	paj¹
72	蓓蕾	bud	*ʈʂh[e]ːŋ	*ʈ[ɛ]ːŋ		[ŋɔː¹]
73	蓓蕾	bud			CHl *Cuhrəwʔ	
74	蓓蕾	bud	*Cuʔop	*Cuʔop		[ʔow¹]
75	蓓蕾	bud			CHl *C-ŋən	
76	蓓蕾	bud			Run *tʰuːk	
77	錛子	adze	*pʰuːn	*puːn		
78	笨	stupid			GHl *hməːj	
79	鼻涕	mucus	*C-nəmʔ	*C-nəmʔ		naːm¹
80	鼻涕	mucus	*kʰət	*[k/x]ət		hɔːt⁹
81	鼻簫	nose flute			Qi *hljuːnɦ	tsuən²
82	鼻子	nose	*kʰət	*[k/x]ət		hɔːt⁹
83	秕子	blighted grain	*hliːp	*liːp		[vuː⁴vit⁸]
84	閉	close (eyes)	*hɲəːp	*ɲəːp		[ɗap⁷]
85	壁虎	gecko	*hmiːʔ	*miːʔ		
86	壁虎	gecko	*[ɾ/hr]jiːnʔ	*Ci[d/r]iːnʔ		[tek⁷]
87	壁虎	gecko			NECHl *ʔwaːw	
88	邊	side			GHl *fʰ[a]ːŋ	[pʰaːj⁵]
89	邊緣	edge	*C-ŋəːjɦ	*C-ŋəːjɦ		
90	邊緣	edge	*kiːŋ	*Cəʔgiːŋ		[tiəŋ⁵]
91	邊緣	edge			CHl *hŋaːw	
92	編	braid	*pʰən	*pən		
93	編	braid	*ɦəc	*C-ɣəc		
94	編	braid (large)	*m-liː	*m-liː		[taː¹]
95	蝙蝠	bat	*ɓənʔ	*Cəʔbənʔ		
96	蝙蝠	bat	*Cuhrɯːk	*Curɯːk		[tʰiək⁷]
97	鞭打	to lash (a child)	*fʰiːt	*fiːt		[təp⁸]
98	鞭打	to lash	*fʰaːnʔ	*faːnʔ		
99	鞭子	whip	*tçuːjʔ	*Cəʔɟuːjʔ		
100	鞭子	whip			NCHl *ɗuj	
101	扁	flat	*ɓeːnɦ	[*Cəʔbɛːnɦ]		
102	扁擔	shoulder pole			GHl *ʈʂhəj	
103	扁擔	shoulder pole			GHl *fʰiːk	pia⁵
104	變	change	*hljɯːɦ	*Cilɯːɦ		
105	鱉	soft-shelled turtle	*tʰɯːp	*tɯːp		ɗuəp⁹
106	別	don't	*ʔiwʔ	*ʔiwʔ		ʔjow⁵
107	別人	others	*ʔa[ː]w	*ʔa[ː]w		[ɬaj⁴]
108	癟	shriveled	*ɓeːp	[*Cəʔbɛːp]		peːp⁹
109	冰雹	hail			CHl *sʰinɦ	[tsʰaː⁵]
110	槟榔	betelnut			GHl *C-ləːŋʔ	luəŋ¹
111	柄	a handle	*Cuɦəwɦ	*Cuɣəwɦ		
112	柄	handle clf.			GHl *fʰiːnʔ	[ɓuən¹]
113	餅	pastry	*ʔaːnɦ	*ʔaːnɦ		
114	病	sick	*tçʰok	*[ʈ/c]ok		taːk⁹
115	菠蘿	pineapple	*ɾaːʔ	*C-[d/ɖ]aːʔ		[tsaː⁵]
116	菠蘿	pineapple	*C-mun	*C-mun		
117	菠蘿	pineapple			CHl *m-luːnɦ	
118	撥開	pull open	*m-laːɦ	*m-laːɦ		[fəːj¹]
119	撥開	pull open			NWCHl *ɗ[a]ːŋʔ	
120	播種	sow (seed)	*C-muːnʔ	*C-muːnʔ		muːn¹
121	伯父	uncle	*tçʰiːʔ	*[c/ç]iːʔ		tsʰaːj¹
122	伯母	aunt	*hŋiːn	*ŋiːn		ŋiən²
123	脖子	neck	*hljoŋʔ	*Ciloŋʔ		tsaŋ²
124	跛	crippled	*Ciɣ[ɛ]ːŋɦ	*Ciɦ[e]ːŋɦ		heːŋ²
125	簸	winnow			GHl *fʰənɦ	[vat⁷]
126	簸	winnow			Run *hwit	
127	簸箕	winnowing basket			GHl *ɗoŋʔ	tuəŋ¹
128	補	mend (clothes)			GHl *fʰəːn	[ɓɔːm⁵]
129	補苗	fill gaps with seedlings	*ɗəp	*Cəʔdəp		ɗep⁷
130	捕捉	catch	*ɾəːm	*C-[d/ɖ]əːm		[tuj⁴]
131	捕鼠器	mousetrap	*Ciɦəːp	*Ciɣəːp		[kʰiap⁹]
132	不	not	*ʔeːmɦ	*ʔɛːmɦ		[ŋɔː¹]
133	不	not			CHl *Cuʔəɲʔ	
134	不	not			Qi *wiː	[ɓɛː⁵]
135	不懂	not understand	*hlɯmʔ	*lɯmʔ		tʰum⁴
136	不懂	not understand	*hrɯːʔ	*rɯːʔ		[taj²]
137	不懂	not understand			GHl *hmɯːʔ	
138	不肯	not willing	*ʔəjʔ	*ʔəjʔ		ʔaj¹
139	不能	not able	*kaːɦ	*Cəʔgaːɦ		[ŋɔː¹leŋ⁷mɯː⁴]
140	不能	not able			NWCHl *ʔwəɲʔ	
141	不是	not be			GHl *Cuhriːɦ	vaj¹
142	不要	don’t	*ʔiwʔ	*ʔiwʔ		ʔjow⁵
143	不愉快	unhappy			GHl *ɾjaːk	[ŋɔː¹]
144	不愉快	unhappy			NWCHl *ʔwəɲʔ	
145	不愉快	unhappy			GHl *fʰət	[vi⁴]
146	不愉快	unhappy			NWCHl *C-ləːmɦ	
147	不知道	not know	*hlɯmʔ	*lɯmʔ		tʰum⁴
148	不知道	not know	*Cuhrɯː	*Curɯː		[ɗuəj⁵]
149	布	cloth			GHl *ɗəp	təp⁷
150	步	step	*ɦaːmɦ	*C-ɣaːmɦ		[tsəːm⁵]
151	猜測	guess			CHl *ɓaːɲ	ɓaːn³
152	才	just now	*C-nəwʔ	*C-nəwʔ		naː¹
153	踩	tread	*sʰɯːm	*sɯːm		
154	踩	tread			Qi *tçəːmɦ	[tsʰɛː¹]
155	踩	step on	*fʰaːw	*faːw		
156	菜	vegetable	*ɓɯː	*Cəʔbɯː		
157	菜	vegetable			NWCHl *sʰaːjʔ	[tsan¹]
158	菜	vegetable	*ʈʂhəj	*ʈəj		
159	菜	vegetable			NCHl *ʔuːɲ	
160	菜	vegetable			Run *hŋənʔ	
161	蒼蠅	a fly	*hmiːʔ	*miːʔ		[kɯ²]
162	蒼蠅	a fly			Run *C-ɲuːŋ	
163	蒼蠅	a fly	*hwaːŋʔ	*waːŋʔ		[mɔːt⁹]
164	蒼蠅	a fly			Run *tʰaːɦ	
165	藏	store up	*[ɾ/hr]juːŋ	*Ci[d/r]uːŋ		[pej¹]
166	藏	store up			Run *[ʈʂ/tç]hɯːʔ	
167	槽	trough	*[ʈʂ/tç]huː	*[ʈ/c]uː		[tɔːŋ¹]
168	草	grass	*hŋənʔ	*ŋənʔ		kəːn⁴
169	草木灰	plant ash	*sʰuːʔ	*suːʔ		[faː¹]
170	層	layer, level	*hlɯt	*lɯt		[fɯːn⁴]
171	插	insert			GHl *C-ɲok	
172	插	insert forcefully			GHl *tçʰoŋʔ	tsʰaːŋ⁵
173	插	insert	*C-ŋiːp	*C-ŋiːp		ɲep⁷
174	岔	fork (in road)	*pʰaː	*paː		ɓow¹
175	岔	fork (in road)			Run *C-ŋaːʔ	
176	杈子	branch (tree)	*C-ŋaːmɦ	*C-ŋaːmɦ		ŋəm²
177	柴刀	machete	*kaːʔ	*Cəʔgaːʔ		[ɗow⁵]
178	柴火	firewood	*hŋunʔ	*ŋunʔ		[fɯŋ⁴]
179	饞嘴	gluttonous	*C-laːɲ	*C-laːɲ		
180	饞吃	eat greedily	*ɓət	*Cəʔbət		ɓɯt⁷
181	饞吃	eat greedily	*tʰiːw	*tiːw		tsʰew¹
182	纏	wind around	*fʰiːt	*fiːt		[huːt⁹]
183	纏	wind around			NCHl *hmiːt	
184	蟬	cicada	*hmiːʔ	*miːʔ		
185	蟬	cicada	*hrəːj	*rəːj		kuj¹
186	蟬	cicada			Run *C-niːŋ	
187	蟬	cicada			Run *C-naːjɦ	
188	鏟	shovel	*tçʰaːc	*[c/ç]aːc		
189	長	long	*hnaːwʔ	*naːwʔ		tow⁴
190	腸	intestine	*ɾaːjʔ	*C-[d/ɖ]aːjʔ		lɯj⁴
191	嘗	taste	*tçʰim	*[c/ç]im		tsem⁴
192	嘗	taste			NCHl *ɓuːn	
193	炒	stir-fry	*k[e]ːŋ	*Cəʔg[ɛ]ːŋ		
194	車	vehicle	*tçʰiə	*[c/ç]iə		tsʰia³
195	車輪	wheel	*hmiːʔ	*miːʔ		ʔeŋ³
