Chinese gloss	Language	Word	Source	Page no.
茶	Yao (Lianmin)	tsai³¹	Suining County Gazetteer (1997)	675
草	Dong (Duolong)	ȵaːŋ³³	Suining County Gazetteer (1997)	671
草	Yao (Naxi)	ȵe⁵³ (ȵe3)	Long (1984)	247
药	Cao Miao (Tanghua)	əm³³	Shi (2012)	
药	Cao Miao (Tanghua)	əm³³	Shi (2012)	
菜	Yao (Lianmin)	mo³³	Suining County Gazetteer (1997)	675
菜	Yao (Lianmin)	mo³³	Suining County Gazetteer (1997)	675
菜	Dong (Duolong)	ma⁴⁵	Suining County Gazetteer (1997)	671
葱	Yao (Naxi)	soŋ²¹³ (soŋ1)	Long (1984)	252
蓝	Yao (Lianmin)	laŋ³¹	Suining County Gazetteer (1997)	676
虎	Dong (Duolong)	mom³¹	Suining County Gazetteer (1997)	671
虫	Yao (Lianmin)	nu³¹	Suining County Gazetteer (1997)	675
虫	Dong (Duolong)	nui¹¹	Suining County Gazetteer (1997)	671
虫	Yao (Naxi)	nu¹¹ (nu2)	Long (1984)	248
虱子	Yao (Naxi)	mjiŋ²¹³ (mjiŋ1)	Long (1984)	246
虱子	Yao (Naxi)	mjiŋ²¹³ (mjiŋ1)	Long (1984)	248
