English gloss	Chinese gloss	Proto-Miao
thirsty	渴(二)	*ɴqhæ D
this	這	*ʔnaŋ B
this (year)	今年	*ʔnaŋ B
thorn	剌(名詞)	*bo B
thousand	千	*tshæn A
thread	綫	*fso B
to thread (a needle)	穿針	*tɕhɔn A
three	三	*ptsæ A
to throw on (some clothing)	披衣服	*mpɑu C
thunder	雷	*fʂo A
tickle	癢	*chu D
to tie	綑	*qhei A
tiger	老虎	*tʂo B
tight	緊	*ɳ A
tin	錫	*tshɑ D
tile	瓦	*vɑ B
together with	跟	*ɳɖo C
tomb	墳	*ntseŋ C
tongue	舌頭	*mblei D
tooth	牙齒	*m̥n̥in B
top (of the head)	頭頂	*din B
trap	圈套	*bdʐi B
tree	樹(一)	*ntuŋ C
tree	樹(二)	*fɔu A
trough	槽	*qɭoŋ A
tube	管子	*ɖoŋ A
to tumble from	滾下	*qlɔn B
turbid	水渾	*ɳʈɭ̥o B
twin	雙生子	*mptsei A
to twist (hemp rope)	搓繩子	*sɑu A
two	二	*ʔau A
umbilical cord	臍帶	*nteu D
uncooked	生食物	*ȵuŋ B
a unit of noble metals such as gold and silver, it equals to one tenth of a tael	一錢銀子	*dzæn A
a unit of weight (= 1/2 kilogram)	斤	*tɕæn A
to untie	解開	*nthɑu B
upper part of the hillside	坡上面	*bæ B
urine	尿	*vʐa B
to urinate	撒尿	*vʐa B
to be used to	喫慣了	*ɭɑu C
vegetable	菜	*ʔvʐoi A
village	寨子	*vʐɔn B
vine	籐子	*m̥ʂaŋ A
voice	聲音	*fʂɔu A
waist	腰	*qlɑu B
to wait	等候	*dɔn B
to wake	醒	*dʐa D
walnut	核桃	*qleu C
warm	暖和	*ʂo B
to warm (oneself by a fire)	烤火	*ntæ C
to wash (pot)	洗鍋	*ntsɑ B
to wash (clothes)	洗衣	*ntshɔu C
to watch	看守	*vʐo B
water	水	*ʔuŋ A
wax	黃蠟	*tɕeŋ A
we	我們	*ptsæ A
to wear (bracelets)	戴鐲子	*ʈɔ C
to weave (cotton cloth)	織布	*nto D
to weave (a dustpan)	編簸箕	*hin A
to weave (straw shoes)	打草鞋	*hin A
to weed	薅草	*nthɔu C
to weep	哭	*ʔȵin B
wet	濕	*nton A
what	什麼	*tʂe B
wheat	麥子	*mɔŋ C
which	哪	*du C
whip	鞭子	*mbleu D
white	白	*qleu A
wide	寬	*qlweŋ B
wild garlic	野蒜	*ɢlɔn B
wild persimmon	野柿子	*mnin B
wildcat	野貓	*pɭe C
willow	柳榭	*ʑɑŋ A
wind	風	*tɕɑ C
wine	酒	*tɕeu B
wing	翅	*tæ D
to wink	眨眼	*ɳtʂei D
to winnow away the chaff	簸米	*ptʂuŋ B
winnowing fan	簸箕	*ʔveŋ A
to wipe	揩	*ʂɔn C
without husband	寡婦	*mbdʐɑu C
woman	女人	*bo A
to wring (a towel)	擰毛巾	*ptʂo C
to write	寫	*fʂoi C
year	年	*ɕuŋ C
yellow	黃	*ɢlweŋ A
you	你們	*mi A
young	年輕	*ɭ̥ɑ D
young (cow)	小母牛	*ɕɑ D
young man	青年男子	*ɳɖou C
younger brother	弟弟	*cu B
