English gloss	Part of speech	Guiqiong	Chinese loanword
wheat flour	n.	’jɐŋpʰɛ	
wheat flour bread	n.	’jɐŋzɐŋb’ɔlɔ; ’jɐŋb’ɔlɔ; ’jɐŋpʰɛb’ɔlɔ	
wheat plant with long pointed awn	n.	gɐn’jɐŋtsɛi	
when	conj.	gɐŋ	
when one was younger	npr. adv.	lɛ̃sĩ ’nĩgɐŋ	
when	pron.	ɛ’liwuəjɔ	
when there is no other choice	adv.	lumɛ̃sɐŋ	
where	adv.	’ələ	
where	pron.	ɛ’liniɛ	
wherever	adv.	’ələdʐidʐi	
which direction	pron.	ɛ’liniɛ	
which person	pron.	ɛ’lipɛi	
which storey	pron.	ɛ’li tsɐ	
whip	n.	dɐ̃pʰu	
whipping top	n.	kʰu’lutsɛi	
whirlpool	n.	tʂʰĩkʰu	
whisper	n.	pʰisɛipʰusu	
whistle	n.	gəluŋtsɛi	
whistle	n.	lhɐsui	
white	n. adj.	ʂɔ’mɐ	
white paper	n.	ʂo’wu ʂɔ’mɐ	
white pepper	n.	ɬəɕiɐn	
who	pron.	su	Ancient Chinese Shú 孰, Latter-day Chinese Shuí 谁
who is it?	int.	sujɔ	
whoever	pron.	suʐiʐi	
whole body	n.	’wɔ’muʨiɐ	
whole hand	n.	kodəpʰə’wu	
whole lifetime	n.	mɛiʐəʨiɐŋ	
whorl (fingerprint)	n.	tsʰo	
whose family	pron.	sugu	
why	adv.	ʨibə	
why	pron. adv.	ʨiutsi; ʨiu tsilɛ	
wicked	adj.	sɐnni gɔdʐu	
wicked man	n.	gɔdʐu	
wide	adj.	lɐŋ	
wife	n.	guʥ’y	
wife	n.	guiʥ’i; guʥ’y; guig’i	
wild beast	n.	nɐŋgəumɛsɔʨʰiɐ	
wild boar	n.	pʰɐgui	
wild cat	n.	tuŋ	
wild dog, Cuon alpinus	n.	pu’ wu	
wild goat	n.	’lo’wu	
wild mulberry	n.	χuisi	
wild ox	n.	’jɐ	
wild wind	n.	’luŋtʰɔ; muhi ’luŋtʰɔ	
willow	n.	ʥiɐŋʥiɐŋ sɐnpu	
win a battle	v.	’mɐkɔ	
win	v.	dz’ĩ	
win	v.	kɔ	
wind	n.	muhi; muju	
wind	v.	jilulu	
windless	adj.	muhimɛ̃	
window	n.	tɐku	
window-like opening in the wall which cannot be opened	n.	putʂo	
wing	n.	tsɛiko	
winter	n.	guɐnkʰu	
winter	n.	guɐntə	
wipe	v.	wutʂʰibɛi	
wise	adj.	dʐuɐnɕiɐnjɐn	
with	adv.	nyɐŋ’ mɔ; nyɐŋmu	
with considerable stature	adj.	dzətʰɐŋgɛ	
with ear	n.	nɔgu	
wither	v.	gu	
within the land	n.	ʥiɐ̃wuə	
within this vicinity	adv.	dɛilɔlɔgəu	
without	n.	tuŋpu	
wok	n.	wuŋ	
wolf	n.	ʨiɐŋkɛi	
woman	n.	dz’imɛi	
a woman	npr.	dz’imɛidɛpɛi	
women	npr.	dz’imɛiɲiɐ	
wood knife	n.	ʂɐŋtu	
wood	n.	sɐn	
wooden bench or stool	n.	pɐntəŋ	cf. Chinese Bǎndèng 板凳
wooden bowl	n.	kʰəpu	
wooden cup	n.	tʂuŋtʂuŋ	
wooden ladle	n.	mɐlhi	
wooden meal scoop	n.	tʰəkɛi	
woodpecker	n.	sɐnputʰɔtʰɔ	
wool	n.	bɛ	
wool	n.	tsʰɐŋ	
word	cl.	nɐŋ	
words	n.	ɕiɛ ’wu	
words	n.	dzɐŋɕiɛ	
work harder	v.	sɐnʨiɛ	
work	n.	li	
work	n.	ligə	
worried	adj.	ʑɔsi	
worry	n.	ʑosi	
worry	v.	du	
worth doing	v.	-bɛijɐn	
wound	n.	tsʰɐn	
wrap	v.	’lɔ’lɔ	
wriggle	v.	tʂʰotʂʰomu	
wring dry	v.	dʐ’i	
wring	v.	ʐui	
wrinkled	adj.	kɔtsɔmɔtsɔ	
wrist	n.	lɐtsʰo	
write a letter	n.	dɐŋdəbɛi	
write again and again	v.	ʨiɔʂuʨiɔbɔbɛi	
write	v.	ʨiɔ	
wrong doings	n.	mɐdʐuɐŋ’wu	
Yǎ’ān 雅安	name.	jɐtʂu	
yak	n.	dzɔ	
yamen	n.	pʰudʐuɐŋ	cf. yámen 衙门, government offices
yamen, government office in feudal China	n.	jɐ’mɛn	cf. Chinese Yámen 衙门
yard	n.	gɔli; gɔʐɛi	
year	n.	’ŋɐŋ	
every year	adv.	dɐ’ŋɐŋdɛisi	
a year	npr.	dɐ’ŋɐŋ	
yeast	n.	dʐitsɛi	
yell	v.	ʁɐ; sɐʨʰyɐn	
yellow	n. adj.	’wuʂɐ	
yes	int.	o’jɐ	
yesterday	adv.	ʨʰiuŋʨiuŋ	
yesterday	n. adv.	ʨʰiɐŋ’nu	
the whole day yesterday	n.	ʨʰiuŋtʂiuŋdɛni	
Yí languages	name.	lɔlɔmũkɛ	
Yí language	name.	lɔlɔpɛimɛ kɛʨʰiɛ	
Yí person	name.	lɔlɔmũ	
Yí the language	name.	lɔlɔmũkɛʨʰiɛ	
yon	adv.	hɔŋniniɛ	
yonder, yon (distal demonstrative)	adv.	hɔŋni; hɐŋni	
you (the exclusive plural second person pronoun)	pron.	nuŋgu	
you (the inclusive plural second person pronoun)	pron.	nuŋtsɛi	
you (the singular second person pronoun)	pron.	nuŋ	
You're welcome (used to reply to people’s thanks)	vpr.	ʐuɐnmɛ̃	
young	adj.	loni	
young and ignorant	n.	kʰymɛ’wu	
young man or woman	npr.	lɛ̃sĩ ’nĩ’wu	
younger	adj.	loni; mini	
the young, the younger, the youngest	n.	ni’wu	
younger sister	n.	mɛimɛi	
younger sister	n.	χɐŋtsɛi; nɐŋtsɛi	
(Chǎngmǎ) Zanthoxylum bungeanum (Sichuan pepper)	n.	tʂʰuipu	
zodiac animal sign	n.	lõkʰuʨiuni	
zongzi	n.	ʥiɐʂi	cf. Chinese zòngzi 粽子
zongzi	n.	ʥiɐʂi	cf. Chinese zòngzi 粽子
