younger brother (gen)	akhua	akhua	akhua	khue	akhua	abutʃaŋ	unutʃaŋ	anuŋ	anuŋ; ăbeădʒăŋ	anuŋ	athabo	khutʃi	anuŋ
younger sister (gen)	mimua	mimuduwa	ʃadaino	bəmənou	bəmənou	anutʃaŋ	anutʃaŋdu	miriŋadʒan	meriŋadʒen	miɾiŋ	thamo	dʒumu	ʔonuma
friend (male)	etʃak	izaʔ	egau	eza	edʒia	ɾok	ɾok	khunuŋ	khə̆nŭŋ	khunuŋ	ɾok	loʔ	loʔ
name	ebeŋ	ebeŋ	ebeŋ	ebeŋ; mbeŋ	ebeŋ	ădʒeŋ	adʒen	adʒen	ădʒeŋ	adʒen	ădʒeŋ	biŋ	biŋ
village	thap	thap	thap	thak	thap	thuk	thyk	thia	thyk	thyk	thyk	thiup	luŋpa
house	hõ	hõ	hõ	hõ	hõ	jam	jam	jam	jam	jam	jam	wam	wam
door	habiŋ	habiŋ	habiŋ	habiŋ	habiŋ	kau	kau; koh̥	ko	ko	ko	joŋko	kotam	kuthuŋ
window	khirki	khirki	mĕlatʃou	hotʃou	hotʃou	paŋthuŋ	kaudu	kotʃuŋ	kotʃuŋ	kotʃyŋ	kotʃuŋ	kotʃuŋ	ɲalo
roof	məkau	məkau	sabakhuŋ	situwaŋ	saphuje	jamkhumu	jamnakpa	tampe	jamtʃŭŋ	khajap	jamtʃŭŋ	wamtʃa	wamtʃa
wall of house	hazaŋ	hazaŋ	hazaŋ	hazaŋ	hazaŋ	jamlok	jamlok	paŋtuŋ	ăzăɾ	tʃikpa	notho	tʃikpa	tʃikpa
pillow	tharo	tharo	tharo	tharo	tharo	skom	skom	saŋkhom	saŋkhom	saŋkhom	saŋkhom	khukhum	khumu
blanket	emau	imoŋ	imoŋ	khombal	jomaŋ	kombolo	lembo	lombu	lembo	lembo	kapu	neloʔ	neloʔ
ring (on finger)	kəna	gənat	gənat	gənat	gənat	istop	tʃodop	tʃidop	tʃidop	kid̪op	gilan	tʃedum	tʃajduʔ
clothing	juŋgəwa	juŋgu	juŋ	juŋdampha	jegua	joʔ	tʃhojo	joʔ	joʔ	joʔmuʔ	jadə	tuthuŋ	wad
cloth	juŋ	juŋ	juŋ	juŋ	juŋ	joʔ	jo	joʔ	joʔ	joʔ	jo	wad	wad
medicine	mo	dawa; mo	mo	dawa	dawa	man	man	man	man	man	men	man	pen
paper	suʔ	ʃijok	suʔ	seu	ʃo; ʃijok	sigi	sygy	sygi	sə̆ga	sygy	ʃo	ʃigu	ʃigu
needle	simen	simen	simen	simen	simen	phli	phĭli	phĭli	phiʔ	phi	phĭli	psi	psi
thread	məraŋ	məraŋ	məraŋ	məraŋ	məraŋ	haŋ	haŋ	haŋ	haŋ	haŋ	haŋ	hauŋ	hwaŋ
broom	sasəraŋ	sasəraŋ	sasəraŋ	bigma	sasəraŋ; ebikma	tʃantʃiriŋ	tʃantʃiɾi	tʃantʃəɾi	tʃaɲtʃɾi	tʃaɲtʃɾi	lipakhoa	tʃhamtʃhaɾaŋ	tʃantʃəɾi
spoon (for eating)	tʃap	dʒap	dʒap	dau	dʒap	sko	sə̆ko	tʃaŋkhu	tʃaŋkho	tʃaŋkho	tʃikholo	tʃhoi	tʃhobi
knife (to cut meat)	metəkhui	məkhui	mədəkhui	məkhui	mədəkhui	bra	bra	handudu	handudu	handu	handudu	baɾi	bali
hammer	tʃapau	dʒabau	dʒabau	dʒabu	dʒabam	toŋ	thuŋ	–	thuŋ	hambaɾ	thuŋ	–	toŋ
axe	thapijoŋ	thabu	thabijou	thabiu	thabijou	phĕlu	phĕlu	phullu	phɾu	phuɾu	phullu	pha	pha
bow	rak	rak	rak	rak	rak	mili	li	ri	miʔ	miʔri	li	li	li
