Gloss	Form	Language
a bamboo for carrying corpse on the shoulders of two persons	tʰaŋ⁴tiaŋ⁵ ဌဉ္ဌိယာ	Gong (Uthai Thani)
a basket for	tɔŋ³တောင်	Gong (Uthai Thani)
a basket made of rattan strips with a long handle for picking fruits from a tree	joʔ¹kʰa²koŋ¹ဂျောခါကောင်	Gong (Uthai Thani)
a big, long banana	dok¹kɔŋ⁴ʔɛ³ ဒေါက်ကောင်အယ်	Gong (Uthai Thani)
a cast-off skin	ကက်ဘာ kəʔ¹ba²	Gong (Uthai Thani)
a closely woven bamboo basket, clf. for 15 kilos of rice	baŋ³ ဘင်	Gong (Uthai Thani)
a comb of cock	wωʔ¹ɲɔʔ¹la² ဝါဝ်ငေါက်လာ	Gong (Uthai Thani)
a cylinder of water	ti³dɔŋ² တီဒေါင်	Gong (Uthai Thani)
a fish look like serpent-head but its head is bigger	luŋ⁴tʰoŋ³လုင်ဌောင်	Gong (Uthai Thani)
a fly	maŋ cʰe ~ maŋ se မင်ချေ ~ မင်ဆေ	Gong (Suphanburi) - older generation
a fly	maŋ se မင်ဆေ	Gong (Suphanburi) - younger generation
a fruit of rattan	wiŋ¹ʔɛ² ဝိင်အယ်	Gong (Uthai Thani)
a kind of animal raps, a kind of wasp	giɛŋ³ ဂိအယ်င်	Gong (Uthai Thani)
a kind of ants	giɛ³blɔŋ² ဂိအယ်င်ဘ္လောင်	Gong (Uthai Thani)
a kind of bamboo	pʰɔʔ¹pi¹ ဖောက်ပိ	Gong (Uthai Thani)
a kind of bamboo	boŋ¹pi²ဘောင်ပိ	Gong (Uthai Thani)
a kind of bark of tree used for eating with areca nut	cʰɛk¹ ချဲ့က်	Gong (Uthai Thani)
a kind of big tree	kɨŋ⁴cʰiŋ⁵ ကိင်ချိင်	Gong (Uthai Thani)
a kind of bird	ma²cəŋ³hɔʔ² မာကင်ဟောက်	Gong (Uthai Thani)
a kind of bird	tuŋ⁴duk¹kʰu³ တုင်ဒုက်ခူ	Gong (Uthai Thani)
a kind of bird	cʰɨ³ ချိ	Gong (Uthai Thani)
a kind of bird	kaŋ⁴ku² ကင်ကု	Gong (Uthai Thani)
a kind of bird	hɔʔ¹ti¹ ဟောက်တိ	Gong (Uthai Thani)
a kind of bird	ʔɛŋ²klɛi⁵	Gong (Uthai Thani)
a kind of birds	ku³lɔŋ⁵	Gong (Uthai Thani)
a kind of black ant	cʰaŋ¹kʰo³	Gong (Uthai Thani)
a kind of black birds	bɯ³baŋ²	Gong (Uthai Thani)
a kind of Caladium	laŋ³tʰaŋ²	Gong (Uthai Thani)
a kind of eggplant	ʔa²kʰa³cʰeŋ³	Gong (Uthai Thani)
a kind of fish trap	buŋ⁵	Gong (Uthai Thani)
a kind of fish trap	cu¹	Gong (Uthai Thani)
a kind of fish trap	klɛŋ⁴buŋ⁵	Gong (Uthai Thani)
a kind of green insect	leŋ⁴tʰeŋ³	Gong (Uthai Thani)
a kind of green insect	ʔɔ⁴lɔ¹	Gong (Uthai Thani)
a kind of grub	lɔŋ³lɯk¹	Gong (Uthai Thani)
a kind of leaf	bi³ca²	Gong (Uthai Thani)
a kind of monitor lizard	cʰə³	Gong (Uthai Thani)
a kind of monkey	wuŋ³ɲok²	Gong (Uthai Thani)
a kind of mushroom	mu³cʰe²	Gong (Uthai Thani)
a kind of mushroom	kωŋ³mω⁵	Gong (Uthai Thani)
a kind of mushrooms	ka²bak²mω⁵	Gong (Uthai Thani)
a kind of muskmelon	tʰaŋ³tʰoŋ²	Gong (Uthai Thani)
a kind of onion plant	ku⁴ca³	Gong (Uthai Thani)
a kind of plants that has pointed leaves	kuŋ²juŋ⁵	Gong (Uthai Thani)
a kind of red flower	wiŋ⁴piaʔ¹	Gong (Uthai Thani)
a kind of rice	cʰu³maŋ²	Gong (Uthai Thani)
a kind of shell	pu²kəʔ¹	Gong (Uthai Thani)
a kind of snake	tʰɔŋ³juʔ¹cʰɛi¹	Gong (Uthai Thani)
a kind of snake	ʔɛŋ³ʔe³pɯŋ³	Gong (Uthai Thani)
a kind of tree with red fruit	ma²pʰla²cʰiŋ³	Gong (Uthai Thani)
a kind of tuberous plant (which has green rounded leaves and fragrant smell)	di⁴hiŋ⁵	Gong (Uthai Thani)
a kind of vegetable	li³ca²	Gong (Uthai Thani)
a kind of vegetables	mok¹kʰɔŋ¹	Gong (Uthai Thani)
a kind of wasp	ɲɔʔ¹mω³	Gong (Uthai Thani)
a kind of wood	luŋ³cʰiŋ²	Gong (Uthai Thani)
a leaf of coconut	kωʔ²ʔɛ³lɔʔ¹	Gong (Uthai Thani)
a long-handled knife	ta²meŋ¹	Gong (Uthai Thani)
a rod of cogon grass used for roofing	cʰì	Gong (Suphanburi)
a rod of cogon grass used for roofing	cʰi²tiaŋ⁵	Gong (Uthai Thani)
a section of bamboo stem, about a foot long, with one joint at the bottom	dɔŋ¹	Gong (Uthai Thani)
a sheath of knife	ta²meŋ⁴jiŋ⁵	Gong (Uthai Thani)
a small basket for putting glutinous rice	ʔɛʔ¹tʰək²	Gong (Uthai Thani)
a small brown frog	kʰɔʔ¹ba¹	Gong (Uthai Thani)
a small cup	cɔʔ¹peʔ²	Gong (Uthai Thani)
a small mouth jar	cu⁴pɛʔ¹	Gong (Uthai Thani)
a small, broken [piece] of milled rice	cʰe³kɯŋ²	Gong (Uthai Thani)
a spoutless kettle with holes in the bottom for steaming food	puŋ⁴koŋ¹	Gong (Uthai Thani)
a spoutless kettle with holes in the bottom for steaming food	puŋ⁴ʔa¹	Gong (Uthai Thani)
a trap of ground lizard	dɔŋ²luʔ¹	Gong (Uthai Thani)
abdomen	bɔŋpʰɔ	Gong (Suphanburi) - older generation
abdomen	bɔŋpʰɔ	Gong (Suphanburi) - younger generation
able to, get, obtain	pʰo	Gong (Suphanburi)
abscess / ulcer / open wound	phlɯ́ŋ 	Ugong
abundant, much	ɲa⁴ʔɔ⁵	Gong (Uthai Thani)
accurate, to be ripe	meŋ²ʔɔ²	Gong (Uthai Thani)
achilles tendon	phɔʔ tɔ̌ŋ 	Ugong
acne	mɨŋ⁴	Gong (Uthai Thani)
Adam's apple	ku²ʔɔŋ¹	Gong (Uthai Thani)
adam's apple / larynx	yɯ̌ŋ sɯ̂ŋ ʔalɛ / khɔ̌ŋ ʔa 	Ugong
afraid	kà	Gong (Suphanburi) - older generation
afraid	kà	Gong (Suphanburi) - younger generation
alike	ta²dək¹jə¹	Gong (Uthai Thani)
all	tʰuŋ tʰe	Gong (Suphanburi)
all	kʰɔʔ kʰɨ̀ŋ	Gong (Suphanburi) - older generation
all	kʰɔ̀ʔ kʰɨ̀ŋ	Gong (Suphanburi) - younger generation
almost	bɛʔ¹jə¹	Gong (Uthai Thani)
aloe-resin	tʰɔŋ¹ʔeŋ²	Gong (Uthai Thani)
already	tʰeŋ⁴doʔ¹	Gong (Uthai Thani)
already	kʰeŋ tʰe	Gong (Suphanburi) - older generation
already	kʰeŋ tʰe	Gong (Suphanburi) - younger generation
already, already done	tʰe	Gong (Suphanburi)
alter, to untie	pʰəŋ⁴ʔɔ⁵	Gong (Uthai Thani)
amniotic fluid	na²pu³	Gong (Uthai Thani)
and	kʰe³	Gong (Uthai Thani)
and	kʰe	Gong (Suphanburi) - older generation
and	he	Gong (Suphanburi) - younger generation
and, with, take away	kʰe	Gong (Suphanburi)
angry	ɲik	Gong (Suphanburi)
animal	pʰuduɔŋ pʰǎŋ	Gong (Suphanburi) - older generation
ankle	khɪ̀ khlə̣k 	Ugong
ant	wɛ̌ŋ	Gong (Suphanburi)
ant	giɛ³	Gong (Uthai Thani)
ant-bill	wuʔ¹pʰuk²	Gong (Uthai Thani)
ant-bill	joŋ⁴tʰɔŋ³	Gong (Uthai Thani)
anus	ʔɛi³gɔŋ¹	Gong (Uthai Thani)
anus / rectum	ʔé̩ŋ kɔŋ 	Ugong
apple of the eye	ɲɔʔ¹kʰɔːŋ³	Gong (Uthai Thani)
areca	ʔɛ	Gong (Suphanburi) - older generation
areca	ʔɛ	Gong (Suphanburi) - younger generation
areca nut	ʔɛ¹	Gong (Uthai Thani)
areca palm	dê	Lawa (Kwê Yai)
areca palm	lê	Lawa (Kwê Noi)
arm	lɔʔ¹pɯŋ²	Gong (Uthai Thani)
arm	lɔ̌ʔ phᴜ̵̂ŋ 	Ugong
armpit	lɔʔ¹kʰlɛʔ²kɔŋ¹	Gong (Uthai Thani)
around (fly), plague, swarm	pʰɛŋ	Gong (Suphanburi)
arrow	di ma	Gong (Suphanburi) - older generation
arrow	di ma	Gong (Suphanburi) - younger generation
ashamed	kɔʔ	Gong (Suphanburi)
ashes	plaʔ¹ʔa³	Gong (Uthai Thani)
ashes	pʰìʔʔâ	Gong (Suphanburi) - older generation
ashes	pʰìʔʔâ	Gong (Suphanburi) - younger generation
ask	ɲi⁴ʔɔ⁵	Gong (Uthai Thani)
astringent (with resin)	pʰàŋ	Gong (Suphanburi)
at	tʰɔ	Gong (Suphanburi) - older generation
at	tʰɔ	Gong (Suphanburi) - younger generation
at present, now, at, place, area	tʰɔ̀	Gong (Suphanburi)
attach	ʔɯŋ⁴ʔɔ⁵	Gong (Uthai Thani)
aunt	pa²ti¹	Gong (Uthai Thani)
aunt, uncle (woman)	ni²jɛʔ²	Gong (Uthai Thani)
awaken	lok¹da²ʔɔ²	Gong (Uthai Thani)
axe	pi²tʰɔŋ³	Gong (Uthai Thani)
back	kʰuŋ³pu²	Gong (Uthai Thani)
back	wúŋpʰùŋ	Gong (Suphanburi) - older generation
back	wúŋpʰùŋ	Gong (Suphanburi) - younger generation
back bone	kʰuŋ³pu²mu¹	Gong (Uthai Thani)
back of neck	yɯ̌ŋ sɯ̂ŋ bǒ̩ŋ 	Ugong
backbone / spine	wᴜ̌ŋ phûŋ wú/ᴜ 	Ugong
bad	tɔŋʔɔ̂	Gong (Suphanburi) - older generation
bad	tɔŋʔɔ̂	Gong (Suphanburi) - younger generation
bad-smelling	nàŋ	Gong (Suphanburi)
baht	baʔ¹	Gong (Uthai Thani)
baht (Thai currency)	bǎʔ	Gong (Suphanburi)
bake	ɲeŋ²ʔɔ²	Gong (Uthai Thani)
balance	ceŋ¹ʔa²	Gong (Uthai Thani)
bald	dədo	Gong (Suphanburi)
bamboo	pa²cʰɔ²pi¹	Gong (Uthai Thani)
bamboo basket for containing fish, to correct, to hit, to strike	tɔ̌ŋ	Gong (Suphanburi)
bamboo mat	tʰɔ³	Gong (Uthai Thani)
bamboo rat	tʰɔ̌ŋ	Gong (Suphanburi)
bamboo shavings	tʰaŋ⁴cʰi³	Gong (Uthai Thani)
bamboo sheet	pʰɛi¹	Gong (Uthai Thani)
bamboo shoot	pi³cʰɔ²kωŋ¹	Gong (Uthai Thani)
bamboo shoot	pʰu²kωŋ¹	Gong (Uthai Thani)
bamboo stick	dɔʔ¹pi¹	Gong (Uthai Thani)
bamboo stick used for stirring when boiling rice	ʔɛi³meŋ²	Gong (Uthai Thani)
bamboo stick using for stabbing the hole	jɔŋ⁴wu¹	Gong (Uthai Thani)
bamboo strip for tying or weaving	pə²naŋ⁴	Gong (Uthai Thani)
bamboo tree (a kind of)	kʰù pʰe	Gong (Suphanburi)
banana	hɔʔ¹ʔɛ¹	Gong (Uthai Thani)
banana	kʰɔ́ʔ ʔɛ	Gong (Suphanburi) - older generation
banana	kʰɔ́ʔ ʔɛ	Gong (Suphanburi) - younger generation
banana	ha lê	Lawa (Kwê Yai)
banana	ha lê	Lawa (Kwê Noi)
banana (a kind of)	kʰaʔ ʔɛ kə̂ŋ	Gong (Suphanburi)
banana (fruit)	kʰà ʔɛ̀	Gong (Suphanburi)
banana flower bud	hɔʔ¹cʰɔŋ¹	Gong (Uthai Thani)
banana flower stalk	hɔʔ¹nəʔ²	Gong (Uthai Thani)
banana seed	kʰà ʔɛ̀ kʰɔ̂ŋ	Gong (Suphanburi)
banana stem	hɔʔ¹cʰiŋ²kʰɔŋ³	Gong (Uthai Thani)
bandit, thief	ku³mω⁵	Gong (Uthai Thani)
banyan tree	joŋ³cʰiŋ²	Gong (Uthai Thani)
barb (of fish)	ŋa²ʔa³kʰω⁵	Gong (Uthai Thani)
bark	ʔə̌k goèʔ	Gong (Suphanburi) - older generation
bark	ʔə́k goèʔ	Gong (Suphanburi) - younger generation
bark	hang kô	Lawa (Kwê Yai)
bark of a tree	ʔak¹kəʔ²	Gong (Uthai Thani)
barking deer	ci	Gong (Suphanburi)
barking deer	ci³	Gong (Uthai Thani)
basil	ŋa²ʔa²piaʔ¹	Gong (Uthai Thani)
basin	lûŋ	Gong (Suphanburi)
basin	luŋ⁵	Gong (Uthai Thani)
basket	koŋ¹	Gong (Uthai Thani)
