no.	gloss	Akha Chicho	Akha Buli
98	sky	uŋ²¹ɣuŋ²¹	m²¹
99	cloud	u²¹duŋ³³	m²¹dm⁵⁵
100	fog	tɕʰɤ²¹	ʨʰɤ²¹
101	sun	nuŋ⁵⁵ma³³	nɤ³³ma³³
102	moon	ba̰³³la̰³³	ba³³la³³
103	star	a²¹gɯ⁵⁵	a²¹gɯ⁵⁵
104	wind	dʑa²¹lɛ⁵⁵	ʥa²¹lɛ⁵⁵
105	to blow	bɔ̰³³	bɔ³³
106	rain	u²¹jɛ⁵⁵	m²¹jɛ⁵⁵
107	it rains	u²¹jɛ⁵⁵jɛ⁵⁵	m²¹jɛ⁵⁵ jɛ⁵⁵
108	light	jɔ³³bja̰³³	na⁵⁵gɯ⁵⁵gɯ⁵⁵la⁵⁵ȵa²¹ei³³
109	shadow	a³³ba³³	a⁵⁵ba⁵⁵(ba⁵⁵jɛ⁵⁵)
110	bright	bja⁵⁵tɕɛ⁵⁵ne⁵⁵, lɔ²¹kʰa⁵⁵ne⁵⁵	jɤ³³bja³³
111	dark	jɔ³³ɣɤŋ⁵⁵	jɤ³³ɣɤŋ⁵⁵
112	thunder	u²¹dʑɛ²¹dʑɛ²¹	m²¹ʥe²¹ʥe²¹
113	it thunders	tsʰo²¹dɛ̰³³	m²¹ʥɛ²¹tʰɤŋ²¹tɛ̰³³tɛ̰³³
114	soil, earth	mi⁵⁵tsʰa²¹	mi⁵⁵tsʰa²¹
115	stone	xa²¹lo̰³³	xa²¹lo³³
116	sand	kʰa⁵⁵ɕɯ³³	kʰa⁵⁵ɕɤ²¹
117	iron	ɕom⁵⁵~ɕoŋ⁵⁵	ɕoŋ⁵⁵
118	rust	ɕoŋ⁵⁵kʰɔ³³	ɕoŋ⁵⁵kʰɔ³³
119	gold	ɕɯ⁵⁵	ɕɯ⁵⁵
120	silver	pʰju⁵⁵	pʰju³³
121	copper	ɣɯ²¹	ɣɯ²¹
122	hill, mountain	gɔ²¹dʑɔ²¹	gɔ²¹ʥɔ²¹
123	valley	ga̰²¹ɤŋ⁵⁵ɤ³³	xa²¹lo³³lo³³gu⁵⁵
124	water	u⁵⁵tɕṵ³³	ɤ³³ʨṵ²¹
