No.	Gloss	Proto-Palaungic
729.	squirrel	*prɔːk
730.	agree	*prɔːm
731.	wolf	*-prɔk
732.	equal, level	*-pre/iŋ
733.	side; ribs	*prɤːk
734.	hail	*priɛl
735.	fat, oil	*priɛŋ
736.	old	*priːm
737.	thin	*sraːj
738.	cut, snip	*sraːj
739.	tooth	*sraːŋ
740.	thousand	*sreːŋ
741.	swidden field	*sreʔ
742.	taro	*səroːɁ
743.	lead (metal)	*traːk
744.	buffalo	*traːk
745.	hit	*t.rɔːʔ
746.	correct	*trɔːʔ
747.	fallow	*triːʔ
748.	forehead	*-ˀra/ɛl
749.	wash, drench	*ˀrat
750.	noise, cry	*ˀrɔːʔ
751.	fig	*ˀrɤs
752.	sand	*-saːc
753.	bee, wasp	*saːj
754.	skin, peel	*saːk
755.	wash, scour	*pəsaːk
756.	splash	*kəsac
757.	five	*pəsan
758.	air	*sʋar
759.	transfix	*sɔːr
760.	know	*-sɔŋ
761.	wood, tree	*kəseʔ
762.	vomit	*sɤːl
763.	breath, heart	*pəsɤːm
764.	sated	*sɤk
765.	fart	*sɤm
766.	snake	*pəsɤɲ
767.	thick	*kəsɤt
768.	sated, full	*sVʔ
769.	bee	*pəsiɛr
770.	claw, nail	*rəmsiːm
771.	vein, tendon	*siːʔ
772.	rope, string	*-siːʔ
773.	steamer	*-soːŋ
774.	steam (rice)	*soːŋ
775.	hair	*suk
776.	sting	*suːc
777.	give birth	*suːm
778.	nest	*-suːm
779.	bathe	*suːm
780.	bag	*suːr
781.	emit smell	*suːt
782.	bee	*suːt
783.	rub, wipe	*suːt
784.	soak	*ta/əm
785.	tongue	*-taːk
786.	crab	*kətaːm
787.	weave	*taːɲ
788.	thin	*ta(ː)ŋ
789.	prawn, shrimp	*-taːs
790.	warm (by fire, sun)	*taːt
791.	eight	*taːʔ
792.	wash (head)	*-taːʔ
793.	right (side)	*tam
794.	egg	*kətam
795.	roast	*taŋ
796.	brain, forehead	*kətaŋ
797.	fathom	*tap
798.	grandfather	*taʔ
799.	tail	*sntaʔ
800.	hive (insect)	*kətɔ/ɤːl
801.	hold, carry	*tɔ/un
802.	slash	*tɔːh
803.	six	*tɔːl
804.	liver	*kətɔːm
805.	ladder, stair	*tɔ(ː)ŋ
806.	stem, section	*tɔːŋ
807.	follow	*tɔj
808.	pluck	*tɔk
809.	boil (food)	*tɔŋ
810.	roast	*tɔŋ
811.	earth	*kəteːʔ
812.	thunder	*tɤ/as
813.	sell	*təc
814.	smoke	*tɤːʔ
815.	join together	*-tɤj
816.	pull out	*tɤk
817.	trunk of plant	*tɤŋ
818.	bury	*tɤp
819.	torn	*tɤt
820.	at	*taʔ
821.	hammer	*tiɛm
822.	drink	*tiɛŋ
823.	nine	*tiːm
824.	wall	*ti(ː)ŋ
825.	mushroom	*tiːs
826.	anus; to fart	*tiːt
827.	hand, arm	*tiːʔ
828.	pound	*toːh
829.	send, give	*toːl
830.	ear	*toːr
831.	arrive	*tuh
832.	tie	*tuk
833.	light, ignite	*tuŋ
834.	drum	*cətuŋ
835.	explode	*-tuː/ɔːh
836.	breast	*tuːs
837.	foodstuffs	*tuːʔ
838.	hole	*-tuːʔ
839.	inside	*tuːʔ
840.	wash	*tuːʔ
841.	that (dist.)	*tVj
842.	fell tree	*tVɲ
843.	rock, sway	*ʋa/ɛt
844.	pass, overtake	*ʋa/ək
845.	knife, sword	*ʋaːc
846.	borrow	*ʋaːj
847.	insect, worm	*ʋaːk
848.	boundary	*ʋaːr
849.	go	*ʋaːʔ
850.	left (side)	*-ʋeʔ
851.	wide	*ʋah
852.	stir	*kʋaj
853.	woodpecker	*-ʋaw
854.	curved, bent	*ʋɔk
855.	hook	*ʋɔk
856.	reap, harvest	*ʋɔk
857.	return	*ʋiː/eŋ
858.	wander	*ʋɤ/er
859.	reap, harvest	*ʋɤc
860.	stir	*ʋɤl
861.	knife, sword	*ʋiɛk
862.	wander	*ʋiɛŋ
863.	avoid, turn away	*ʋiɛr
864.	repay	*ʋiɛt
865.	wring	*ʋiɛt
866.	wrinkled, crooked	*-ʋiɛt
867.	confused, forget	*-ʋi(ː)l
868.	return	*ʋiːr
869.	year; long time	*ʋiːt
870.	sickle	*cəʋɔk
871.	wither	*ʰʋiɛt
872.	beat (with stick)	*sʋiɛt
873.	beckon	*kʋaːc
874.	scrape, shave	*kʋat
875.	above, upper part	*kʋɤj
876.	fig tree	*ləŋʋaːʔ
877.	tiger	*rəʋaːj
878.	door	*rəʋaːʔ
879.	sour fig	*rəʋɔj
880.	monkey	*sʋaʔ
881.	hearth	*təʋaːŋ
882.	bracken fern	*təʋaːʔ
883.	Wa people	*ˀʋaːʔ
884.	abdomen	*ˀʋac
885.	throw	*ˀʋɤr
